Test Bad Smell nums:  12
|          TYPE          |                       FILENAME                        | LINE |
|------------------------|-------------------------------------------------------|------|
| DuplicateAssertTest    | ../_fixtures/tbs/usecases/DuplicateAssertTest.java    |    9 |
| EmptyTest              | ../_fixtures/tbs/usecases/EmptyTest.java              |    8 |
| IgnoreTest             | ../_fixtures/tbs/usecases/IgnoreTest.java             |    0 |
| EmptyTest              | ../_fixtures/tbs/usecases/MagicNumberTest.java        |   11 |
| UnknownTest            | ../_fixtures/tbs/usecases/MysteryGuestTest.java       |   11 |
| RedundantAssertionTest | ../_fixtures/tbs/usecases/RedundantAssertionTest.java |    9 |
| RedundantPrintTest     | ../_fixtures/tbs/usecases/RedundantPrintTest.java     |    9 |
| RedundantAssertionTest | ../_fixtures/tbs/usecases/RedundantPrintTest.java     |    7 |
| SleepyTest             | ../_fixtures/tbs/usecases/SleepyTest.java             |    8 |
| RedundantAssertionTest | ../_fixtures/tbs/usecases/SleepyTest.java             |    7 |
| EmptyTest              | ../_fixtures/tbs/usecases/UnknownTest.java            |    7 |
| UnknownTest            | ../_fixtures/tbs/usecases/UnknownTest.java            |    7 |
